password,username,studentID,socialID,firstname,lastname,gender,schoolyear,day,month,year
123456,nguyenhuu123,23125054,44440000,Huu,Nguyen,1,1,1,9,2005,
567890,vothu567,23125053,33330000,Thu,Vo,0,1,2,8,2005,
901234,doquynh901,23125052,22220000,Quynh,Do,0,1,3,7,2005,
345678,phamthao567,23125051,11110000,Thao,Pham,0,1,4,6,2005,
789012,lethi789,23125050,10101010,Le,Thi,0,1,5,5,2005,
456789,tranvan456,23125049,99900000,Van,Tran,1,1,6,4,2005,
234567,nguyenmai123,23125048,88800000,Mai,Nguyen,0,1,7,3,2005,
12312,huynhuy,23125047,12,Huynh,Uy,1,1,8,2,2005,
111111,huuthinh123,23125071,12400000,Huy,Thinh,1,1,9,2,2005,
1231233,congpho1234,231250895,7.7205E+11,Cong,Phooo,1,1,10,1,2005,
123123,congpho123,23125089,77205000369,Cong,Pho,1,1,11,1,2005,
