password,username,studentID,socialID,firstname,lastname,gender,schoolyear,day,month,year
123456,nguyenhuu123,23125054,044440000,Huu,Nguyen,1,1,4,9,11,
567890,vothu567,23125053,033330000,Thu,Vo,0,1,4,8,10,
901234,doquynh901,23125052,022220000,Quynh,Do,0,1,4,7,9,
345678,phamthao567,23125051,011110000,Thao,Pham,0,1,4,6,8,
789012,lethi789,23125050,010101010,Le,Thi,0,1,4,5,7,
456789,tranvan456,23125049,099900000,Van,Tran,1,1,4,4,6,
234567,nguyenmai123,23125048,088800000,Mai,Nguyen,0,1,4,3,5,
12312,huynhuy,23125047,12,Huynh,Uy,1,1,4,2,3,
111111,huuthinh123,23125071,012400000,Huy,Thinh,1,1,4,2,3,
1231233,congpho1234,231250895,0772050003695,Cong,Phooo,1,1,4,1,1,
123123,congpho123,23125089,077205000369,Cong,Pho,1,1,4,1,1,
